,종목명,날짜,제목,본문,SN_caller,SL_caller,NNP_caller,NNG_caller,SF_caller,SS_caller,SW_caller,SP_caller,NR_caller,NNB_caller,JKB_caller,JX_caller,XSN_caller,JC_caller,JKO_caller,MAG_caller,JKG_caller,VV_caller,EC_caller,XSV_caller,EP_caller,MAJ_caller,ETM_caller,XPN_caller,MM_caller,JKS_caller,VCP_caller,VA_caller,NA_caller,XR_caller,ETN_caller,XSA_caller,SO_caller,NP_caller,EF_caller,VX_caller,VCN_caller,SH_caller,IC_caller,JKV_caller,SN_other,SL_other,NNP_other,NNG_other,SF_other,SS_other,SW_other,SP_other,NR_other,NNB_other,JKB_other,JX_other,XSN_other,JC_other,JKO_other,MAG_other,JKG_other,VV_other,EC_other,XSV_other,EP_other,MAJ_other,ETM_other,XPN_other,MM_other,JKS_other,VCP_other,VA_other,NA_other,XR_other,ETN_other,XSA_other,SO_other,NP_other,EF_other,VX_other,VCN_other,SH_other,IC_other,JKV_other,stock_name,price,price + 30days
1813,HD현대중공업,24.07.26,"- HD현대중공업의 2024년 2분기 실적은 매출액 3조 8,840억원(+27%yoy), 영업이익 1,956억원(+186%yoy, OPM 5%)을 기록. 영업이익 기준 시장 컨센서스 1,119억원을 대폭 상회하는 호실적 달성","- 상선 부문에서 흑자 선박 건조 비중 높아지고, 우호적인 원재료 가격 추이, 생산 안정화로 인한 외주비 절감 등이 더해지며 수익성 개선에 성공. 참고로, 건조 선박 믹스는 22년 흑자 호선 비중이 66%, 21년 적자 호선 비중 30%",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HD현대중공업,192700,227500
1818,삼성E&A,24.07.26,"투자의견 Buy 유지, 목표주가 36,000원 유지","투자의견 Buy, 목표주가 36,000원을 유지한다. 목표주가는 12개월 선행 BPS에 Target P/B 1.53배를 적용했다(Target P/E 10.8배). 2024년말 기준 창사 이래 최대 규모의 수주 잔고를 기록할 가능성이 높다(20조원). 화공 부문 매출액이 YoY 감소하고 있으나, 2025년 하반기부터는 다시 큰 폭의 화공 부문 매출 증가가 예상된다. 또한 Fadhili 프로젝트와 수주 예상 프로젝트의 선수금 규모를 고려할 때 연말로 갈수록 현금흐름이 개선될 것으로 보인다. 삼성E&A가 목표하는 연말 순현금 규모는 2조원(2Q24말 1.2조원)으로 향후 다시 주주환원정책에 대한 기대감을 올릴 수 있다. 준공에 다다른 현장들의 정산 이익이 반영되며 단기적으로 실적의 변동성이 매우 큰 시기이지만, 중장기적인 회사의 실적과 방향성은 매우 긍정적으로 판단한다.",20.0,10.0,19.0,36.0,8.0,14.0,10.0,8.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,19.0,36.0,8.0,14.0,10.0,8.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,삼성E&A,20100,17710
1827,포스코퓨처엠,24.07.26,"24년 2분기, 일회성 비용 제외시 컨센서스 부합","포스코퓨처엠의 2Q24 매출액 9,155억원(QoQ -19.6%), 영업이익 27억원(QoQ -92.8%), OPM 0.3%(QoQ -3.0%p)로 컨센서스(매출액 1조원, 영업이익 190억원)를 하회하는 실적을 기록했으나, 일회성 비용 186억원(인조흑연 음극재 평가손실)을 제외하면 컨센서스에 부합했다. N86 및 하이니켈 출하량(NCA, N87)은 견고하였으나, N65 출하량(1Q 4,000톤->2Q 500톤)이 감소하여 전체 양극재 출하량은 -15% 감소하였고, 주요 메탈 가격 약세로 ASP는 -13% 하락하며 양극재 매출액은 5,430억원(QoQ -25.8%)을 기록했다. 천연흑연의 판매량과 수익성은 전분기와 비슷한 수준을 유지했으나, 양산 초기인 인조흑연 제품/재공품 등의 평가손실이 계상됨에 따라 수익성이 악화되었다. 기초소재 부분은 라임 설비 보수비용으로 수익성이 하락했다.",0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,포스코퓨처엠,233500,172400
1835,삼성에스디에스,24.07.26,2Q24: 영업이익 컨센서스에 부합,"삼성에스디에스 2Q24 실적은 매출액 3 조 3,690 억원(2.4% 이하 YoY), 영업이익 2,209 억원(7.1%, OPM: 6.6%)이다. 영업이익 컨센서스(2,190 억원)에 부합하는 양호한 실적이다. 부문별 고른 성장(CSP 48.7%, MSP 11.1%, SaaS 22.7%)으로 클라우드 매출이 25.1% 증가하면서 IT 서비스 매출은 5.0% 증가했다. IT 서비스 중 클라우드 매출 비중이 35.0%(5.6%p)까지 확대되면서 영업이익률도 12.5%(1.3%p)로 개선되었다. 해상물류 운임 단가 상승에도 불구하고 항공부문 물동량 감소에 따라 물류 매출은 0.1% 증가했으며, 영업이익률도 1.3%(-0.8%p)로 다소 부진했다.",9.0,6.0,11.0,14.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,11.0,14.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,삼성에스디에스,148400,148300
1841,LG화학,24.07.26,"목표주가 42만원으로 하향, 매수 의견 유지","LG화학 목표주가를 42만원으로 16% 하향 조정(기존 50만원)하며, 매수 의견을 유지한다. 목표주가는 1) LG에너지솔루션의 25년 EBITDA 추정치 20% 하향, 2) 첨단소재 실적 추정치 12% 하향으로 인해 낮춰잡았다. 결국 2차전지 업황 부진으로 인해 실적 추정치는 낮아진 영향이 크다. 하지만 하반기 이구환신 추가 지원 정책으로 인한 플라스틱 수요 자극과 낮은 밸류에이션(12MF PBR 0.7배)을 고려하여 투자의견은 매수를 유지한다.",9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LG화학,330500,289500
1846,쎄트렉아이,24.07.26,독보적인 관측 위성 사업자,이번 수주로 국내 업체 중 압도적인 관측 위성 기술력 증명. 정부의 우주 예산 증가 사이클의 가장 큰 수혜 업체로 판단. 2024~25년은 수주 잔고가 매출로 많이 인식되는 시기. 연간 영업이익 흑자전환 기대,24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,쎄트렉아이,쎄트렉아이에 해당하는 종목이 없습니다,쎄트렉아이에 해당하는 종목이 없습니다
1847,LG생활건강,24.07.26,수익성 개선에 집중 = 모멘텀 弱,"성장보다 수익성 개선에 집중하는 경영 기조가 강화되는 양상. 브랜드 리뉴얼, 유통채널 효율화 노력으로 실적 회복을 노리지만 시간이 걸릴 것으로 예상. 새로운 악재도 없지만 모멘텀도 약해 기다림이 필요한 상황",10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,LG생활건강,348500,337000
1850,삼성에스디에스,24.07.26,"견조한 실적, 하반기 클라우드 확장성에 주목",IT서비스 성장 확인. 매출 확대 → 수익성 개선 → 밸류에이션 리레이팅으로 연결. IT서비스 업종內 클라우드(AI) 기반 성장 스토리 확보가 긍정적. 하반기 물류 실적 회복 가세시 추가 실적Upside 가능 구간으로 판단,18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,삼성에스디에스,148400,148300
1856,현대차,24.07.26,"2Q24 실적 양호: 물량보다는 수익성, 믹스 개선에 초점","현대차 2Q24 실적은 매출액 45.0 조원(+6.6%YoY, +10.7%QoQ, 이하 YoY, QoQ 생략), 영업이익 4.3 조원(+0.7%, +20.3%), OPM 9.5%(자동차 부문 OPM 10.6%)로 당사 추정치(4.0조원) 및 시장 컨센서스(4.2조원)를 소폭 상회하는 호실적을 기록했다. 글로벌 도매판매량은 105.7 만대(-0.3%YoY)로 내수판매 18.6 만대(-9.8%), 북미권역 31.0 만대(+15.2%)로 북미의 이익 기여도가 상승했다. 북미 재고는 2.5 개월 수준으로 여전히 건강하게 관리되고 있으며, 인센티브는 구형 산타페 재고 소진을 위해 상승했던 1 분기와 달리, 3 월 출시된 산타페 하이브리드 판매가 호조를 보이면서 4~5 월 전월대비 하락했다. EV 향 인센티브는 1 만불 초반으로 유지되고 있으며, 이는 10 월 미국 공장이 가동되면서 하락할 것으로 예상된다. 여전히 환율, 물량 증가, 제품 Mix 효과가 매출액과 영업이익에 긍정적인 효과를 미치고 있다. 다만 판매보증비는 기말환율 상승 등의 요인으로 전분기비 증가한 1.1 조원을 기록했다.",37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,현대차,237000,217000
1868,LG에너지솔루션,24.07.26,"24년 2분기, 컨센서스 하회","LG에너지솔루션의 2Q24 매출액 6조 1,619억원(QoQ +0.5%), 영업이익 1,953억원(QoQ +24.2%, AMPC 4,478억원 반영), OPM 3.2%(QoQ +0.6%p)로 컨센서스(매출액 6.7조원, 영업이익 2,680억원)를 하회했다. 중대형 EV 부문의 경우 GM향 배터리 출하 증가와 유럽 공장 가동률 개선(전사 가동률 60% 추정)으로 출하량은 30% 증가했으나, ASP가 20% 이상 하락한 것으로 추정되어 3.7조원(QoQ +9.2%)을 기록했다. 소형 전지는 고객사(EV향) 판매량이 부진하고, ASP가 소폭 하락하여 매출이 감소했다. ESS는 전력망 프로젝트 수요 회복 지연으로 비용 부담이 지속되었다.",8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,LG에너지솔루션,389500,383500
1878,SK하이닉스,24.07.26,"- 2분기 실적은 매출 16.4조원(+125% YoY), 영업이익 5.5조원으로 더할 나위 없을 정도. 주가가 흔들리고 있다는 점을 빼면 HBM은 물론이고 일반 DRAM 시장까지도 시황 전망은 상당히 긍정적.","- 24년 하반기~’25년 상반기까지 이익 개선세가 이어짐에 따라 연간 영업이익은 ‘24년 20조원, ‘25년에는 30조원을 상회할 것으로 예상됨. 현 주가는 ‘24년 기준 P/E 9배, ‘25년 기준 6배 수준에 불과.",23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,SK하이닉스,190900,171700
1891,삼성중공업,24.07.26,2Q24 Review: 호실적 기록하며 컨센서스 상회,"2Q24 연결 매출액은 2 조 5,320 억원(+30.1% YoY, 7.8% QoQ), 영업이익은 1,307 억원(+121.9% YoY, +67.9% QoQ)을 기록하면서 컨센서스(950 억원)을 큰 폭 상회했다. 비인도 해양공사에서 확보한 체인지 오더로 발생한 일회성 요인 250 억원을 제외한 경상이익 또한 컨센서스를 약 11.3% 상회했으며, 이는 건조선가 상승과 매출 증가에 따른 고정비 감소, 그리고 제품 믹스 개선 효과에 따른 결과다. 직전 분기 대비 컨테이너선 매출 비중이 감소하면서 상선매출 비중이 약 80%로 감소했으나, 하이테크 공사를 포함한 해양부문에서 작년 1 월에 수주한 Petronas ZLNG 의 강재절단(S/C) 공정에 따른 매출인식으로 매출 비중이 20%까지 확대됐다.",15.0,9.0,19.0,36.0,9.0,0.0,0.0,12.0,0.0,9.0,6.0,1.0,2.0,0.0,8.0,2.0,1.0,4.0,8.0,9.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,15.0,9.0,19.0,36.0,9.0,0.0,0.0,12.0,0.0,9.0,6.0,1.0,2.0,0.0,8.0,2.0,1.0,4.0,8.0,9.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,삼성중공업,10000,11690
1894,영원무역,24.07.26,장기간 본다면 지금이 바닥!,작년 하반기부터 매출 역신장세 지속 중. OEM 부문과 SCOTT(자전거 브랜드) 부문 매출 모두 부진. 올해 하반기부터 실적 부진폭을 줄일 것으로 예상되어 중장기 관점에서는 매수 기회가 올 것으로 판단. 다만 임팩트 있는 실적 회복 사이클을 예상하기에는 전방 수요 회복 수준이 아쉬움,19.0,15.0,30.0,50.0,12.0,5.0,11.0,8.0,2.0,10.0,9.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,14.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,30.0,50.0,12.0,5.0,11.0,8.0,2.0,10.0,9.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,14.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,영원무역,41500,39300
1897,우리금융지주,24.07.26,명확하고 구체적인 장/단기 Target 이 포함된 자본정책 제시,"전일 우리금융지주는 2Q24 실적 발표와 함께 기업가치 제고 계획의 세부적인 내용을 공개했다. 동사는 기업가치 제고 방안을 통해 1) 중장기 Target ROE, 목표 CET1 비율 및 CET1 비율 구간별 총주주환원율 등 기본적인 자본 관련 내용만이 아닌 2) 24 년말까지 CET1 비율 12.2%, 25 년 말까지 CET1 비율 12.5%를 달성하겠다는 구체적인 단기 목표도 제시했다. 현실적으로 확인할 수 있는 시점과 구체적인 수준을 제시했다는점에서 회사의 사업 방향 등에 대한 예측가능성이 제고될 수 있을 것으로 판단한다. 동사의 2Q24 CET1 비율은 12.04%를 기록했는데 환율 상승에 따른 영향을 제외하면 약 12.16% 수준을 기록했을 것으로 예상되는 만큼 환율 측면의 영향이 추가적으로 악화되지 않는다면 동사의 현재 이익체력 등을 기준으로 25 년까지 CET1 비율 12.5%를 달성하는데 큰 어려움은 없을 것으로 예상된다. 다만 최근 추진되는 보험사 인수, 매크로 환경 측면의 불확실성 등을 감안했을 때 달성 여부에 대한 지속적인 모니터링은 필요할 것으로 예상한다. 회사측에서 Target CET1비율 설정에 있어 보험사 인수(오버페이 X) 등을 모두 감안했으며 유상증자 등을 검토하지 않았다고 언급한 만큼 추가적인 주주가치 하락에 대한 우려는 제한적일 전망이다.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,우리금융지주,16440,16190
1905,LG전자,24.07.26,실적 체력이 돋보이는 구간,"반가운 호실적 → 우상향 방향성 확인. 1) 가전 매출 성장 주목, 2) 하반기 수요 회복, 수익성 개선으로 2024년 영업이익 +26%(이하 전년대비) 전망 EPS(주당순이익)↑, 3) AI 등 진입 시장 확대로 밸류에이션↑ View 유지",43.0,7.0,44.0,140.0,23.0,6.0,15.0,19.0,5.0,18.0,20.0,18.0,11.0,2.0,13.0,5.0,5.0,18.0,26.0,24.0,13.0,1.0,16.0,1.0,3.0,11.0,7.0,7.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,44.0,140.0,23.0,6.0,15.0,19.0,5.0,18.0,20.0,18.0,11.0,2.0,13.0,5.0,5.0,18.0,26.0,24.0,13.0,1.0,16.0,1.0,3.0,11.0,7.0,7.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LG전자,97200,90100
1914,한화솔루션,24.07.26,"모듈 판매량 증가 등으로 영업손실 감소, 3분기 적자 지속 전망","◎ 2분기 매출액 2.7조원(QoQ +13%), 영업손실 1,078억원(QoQ 적자축소, OPM -4.0%) 발표>> 동사는 신재생에너지 모듈 판매량 증가, 케미칼 판가 증가, 첨단소재 판매량 증가로 매출액 전기비 13% 개선>> 영업이익 시장 컨센서스 하회, 당사 추정치 대비 선전, 영업손실 1,078억원 발표- 신재생에너지에서 비수기 종료로 모듈 판매량 증가 및 유럽 개발 자산 수익 실현으로 전분기 대비 935억원 영업손실 개선하였으나 모듈판가 약세 영향 등으로 전기에 이어 영업손실 기록, -918억원 발표(OPM-9.4%)- 케미칼 일부 제품 가격 상승으로 적자가 축소되었지만 해상 운임 증가 등 비용 증가 요인도 동시 발생, 영업손실 174억원(OPM -1.4%) 발표. 해상운임 증가 영향은 3분기에도 지속될 것으로 예상- 첨단소재는 1분기대비 주요 원재료 가격 상승, 해상운임 증가로 영업이익 90억원(OPM 3.4%) 발표, 1분기에 이어 ‘23년 전년대비 저조한 실적세 지속. 3분기 주요 고객 여름철 운휴로 실적 감소 예상",30.0,17.0,12.0,46.0,10.0,12.0,23.0,10.0,4.0,11.0,7.0,5.0,7.0,1.0,6.0,1.0,4.0,2.0,4.0,9.0,3.0,1.0,6.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,12.0,46.0,10.0,12.0,23.0,10.0,4.0,11.0,7.0,5.0,7.0,1.0,6.0,1.0,4.0,2.0,4.0,9.0,3.0,1.0,6.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,한화솔루션,21350,17600
1922,LG디스플레이,24.07.26,"24년 영업손실 2.3조 축소, 25년 흑자전환 전망","현재 주가는 12개월 선행 주가순자산비율(P/B) 0.9배 수준. 1분기 유상증자에 따른 발행주식수 증가분(4억주 → 5억주)을 제외하고 고려하면 현재 P/B 밴드 차트 중단을 소폭 상회. OLED TV, OLED 태블릿, 모바일 출하량 증가에 따른 사업구조 고도화 확인 구간. 2024년 영업손실 축소, 2025년 흑자전환이 가능할 것으로 판단되며 긍정적인 주가 흐름 예상",43.0,12.0,34.0,41.0,16.0,21.0,20.0,17.0,11.0,10.0,6.0,5.0,2.0,1.0,6.0,1.0,6.0,6.0,7.0,6.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,12.0,34.0,41.0,16.0,21.0,20.0,17.0,11.0,10.0,6.0,5.0,2.0,1.0,6.0,1.0,6.0,6.0,7.0,6.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,LG디스플레이,10600,10040
1927,POSCO홀딩스,24.07.26,,,33.0,1.0,38.0,111.0,15.0,10.0,7.0,20.0,10.0,24.0,16.0,13.0,4.0,2.0,6.0,3.0,7.0,0.0,12.0,23.0,8.0,5.0,14.0,1.0,3.0,4.0,8.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,38.0,111.0,15.0,10.0,7.0,20.0,10.0,24.0,16.0,13.0,4.0,2.0,6.0,3.0,7.0,0.0,12.0,23.0,8.0,5.0,14.0,1.0,3.0,4.0,8.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,POSCO홀딩스,343500,290000
1933,LS ELECTRIC,24.07.26,북미 호황과 배전 시장 기대 그리고 약간의 걱정들,"2Q24 북미사장 호조로 사상최대 영업이익 달성. 초고압 투자와 배전시장 성장의 기대도 유효. 다만 전력기기, 자동화 부문 변동성과 트럼프 당선시 미국시장 투자 지연은 걱정. 장기 성장과 단기 걱정 사이 줄타기 국면",10.0,3.0,13.0,45.0,6.0,0.0,4.0,5.0,0.0,5.0,6.0,3.0,4.0,0.0,4.0,3.0,3.0,5.0,7.0,7.0,1.0,3.0,9.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,13.0,45.0,6.0,0.0,4.0,5.0,0.0,5.0,6.0,3.0,4.0,0.0,4.0,3.0,3.0,5.0,7.0,7.0,1.0,3.0,9.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,LS ELECTRIC,152500,133300
1938,JB금융지주,24.07.26,"목표주가 17,000 원으로 상향","JB 금융지주의 목표주가를 1) 신규 연체율 지표 개선 등에 따른 건전성 부담 우려 완화 및 2) 양호한 이익에 따른 실적 추정치 조정을 반영하여 17,000 원으로 상향한다. 목표주가는 24E BVPS 25,345 원에 Target PBR 0.65 배를 적용하여 산출했다. 투자리스크로는 상대적으로 부진한 지역경기 개선 추세 등을 제시한다.",24.0,14.0,55.0,78.0,10.0,9.0,12.0,11.0,3.0,11.0,12.0,10.0,9.0,3.0,5.0,2.0,8.0,7.0,7.0,13.0,11.0,1.0,13.0,0.0,13.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,24.0,14.0,55.0,78.0,10.0,9.0,12.0,11.0,3.0,11.0,12.0,10.0,9.0,3.0,5.0,2.0,8.0,7.0,7.0,13.0,11.0,1.0,13.0,0.0,13.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,JB금융지주,16900,18010
